target,prevalence,time_stamp,recall,precision,f1-score,pr_auc,roc_auc
21,0.5397,04-28-2023-20-39-44,0.8196,0.8908,0.8537,0.9408,0.9396
9,0.2946,04-28-2023-20-51-27,0.859,0.891,0.8747,0.935,0.9688
4,0.2812,04-28-2023-21-06-09,0.6818,0.8514,0.7572,0.8553,0.9243
18,0.2687,04-28-2023-21-20-40,0.7554,0.9175,0.8286,0.9054,0.946
2,0.1716,04-28-2023-21-35-21,0.0,0.0,0.0,0.2412,0.6412
5,0.1681,04-28-2023-21-47-00,0.4837,0.7063,0.5742,0.6666,0.9103
6,0.1628,04-28-2023-22-01-27,0.5371,0.7015,0.6084,0.6747,0.895
11,0.1603,04-28-2023-22-11-50,0.0,0.0,0.0,0.1765,0.6253
14,0.1561,04-28-2023-22-26-20,0.0,0.0,0.0,0.1446,0.598
10,0.117,04-28-2023-22-33-54,0.0,0.0,0.0,0.1452,0.6041
13,0.1162,04-28-2023-22-48-20,0.0,0.0,0.0,0.2126,0.5275
19,0.104,04-28-2023-22-58-43,0.0,0.0,0.0,0.1687,0.5845
3,0.0971,04-28-2023-23-11-44,0.0,0.0,0.0,0.1724,0.6489
1,0.0887,04-28-2023-23-26-17,0.0,0.0,0.0,0.1101,0.628
15,0.0552,04-28-2023-23-32-26,0.15,0.2,0.1714,0.1389,0.7765
12,0.0453,04-28-2023-23-42-43,0.0,0.0,0.0,0.0563,0.5077
20,0.0438,04-28-2023-23-54-27,0.0,0.0,0.0,0.0944,0.5982
7,0.0419,04-29-2023-00-09-00,0.0,0.0,0.0,0.4637,0.8122
22,0.0409,04-29-2023-00-23-27,0.0,0.0,0.0,0.0587,0.6313
17,0.0162,04-29-2023-00-37-54,0.0,0.0,0.0,0.0106,0.5404
8,0.0133,04-29-2023-00-52-20,0.0,0.0,0.0,0.0141,0.6133